row_idx,api_unii,dosage_form,excipient_unii,role,confidence
21,660YQ98I10,"TABLET, FILM COATED, EXTENDED RELEASE",ETJ7Z6XBU4,glidant,1.0
21,660YQ98I10,"TABLET, FILM COATED, EXTENDED RELEASE",8Z96QXD6UM,plasticizer,1.0
22,JY0WD0UA60,"CAPSULE, EXTENDED RELEASE",ETJ7Z6XBU4,glidant,1.0
22,JY0WD0UA60,"CAPSULE, EXTENDED RELEASE",2G86QN327L,binder,1.0
22,JY0WD0UA60,"CAPSULE, EXTENDED RELEASE",3K9958V90M,preservative,1.0
22,JY0WD0UA60,"CAPSULE, EXTENDED RELEASE",55X04QC32I,alkalizing_agent,1.0
22,JY0WD0UA60,"CAPSULE, EXTENDED RELEASE",WZH3C48M4T,alkalizing_agent,1.0
22,JY0WD0UA60,"CAPSULE, EXTENDED RELEASE",5138Q19F1X,alkalizing_agent,1.0
23,V92SO9WP2I,SOLUTION,A2I8C7HI9T,preservative,1.0
24,6CW7F3G59X,CAPSULE,3OWL53L36A,filler,1.0
24,6CW7F3G59X,CAPSULE,2G86QN327L,binder,1.0
24,6CW7F3G59X,CAPSULE,5138Q19F1X,alkalizing_agent,1.0
24,6CW7F3G59X,CAPSULE,WZH3C48M4T,alkalizing_agent,1.0
25,IR84JPZ1RK,TABLET,2G86QN327L,binder,1.0
25,IR84JPZ1RK,TABLET,A2I8C7HI9T,preservative,1.0
25,IR84JPZ1RK,TABLET,Z8IX2SC1OH,preservative,1.0
26,OL961R6O2C,"TABLET, FILM COATED",ETJ7Z6XBU4,glidant,1.0
26,OL961R6O2C,"TABLET, FILM COATED",70097M6I30,lubricant,1.0
26,OL961R6O2C,"TABLET, FILM COATED",REK4960K2U,antioxidant,1.0
26,OL961R6O2C,"TABLET, FILM COATED",L11K75P92J,filler,1.0
27,VB0R961HZT,TABLET,70097M6I30,lubricant,1.0
28,11SV1951MR,CAPSULE,776XM7047L,lubricant,1.0
28,11SV1951MR,CAPSULE,2G86QN327L,binder,1.0
28,11SV1951MR,CAPSULE,WZH3C48M4T,alkalizing_agent,1.0
29,17ERJ0MKGI,TABLET,2S7830E561,disintegrant,1.0
29,17ERJ0MKGI,TABLET,70097M6I30,lubricant,1.0
29,17ERJ0MKGI,TABLET,ETJ7Z6XBU4,glidant,1.0
29,17ERJ0MKGI,TABLET,4R4HFI6D95,lubricant,1.0
30,X6Q56QN5QC,CAPSULE,2G86QN327L,binder,1.0
30,X6Q56QN5QC,CAPSULE,J2B2A4N98G,filler,1.0
30,X6Q56QN5QC,CAPSULE,70097M6I30,lubricant,1.0
30,X6Q56QN5QC,CAPSULE,SE337SVY37,solubilizing_agent,1.0
31,3M8608UQ61,TABLET,M28OL1HH48,disintegrant,1.0
31,3M8608UQ61,TABLET,70097M6I30,lubricant,1.0
32,V9EFU16ZIF,CAPSULE,2G86QN327L,binder,1.0
32,V9EFU16ZIF,CAPSULE,70097M6I30,lubricant,1.0
33,W76I6XXF06,TABLET,ETJ7Z6XBU4,glidant,1.0
33,W76I6XXF06,TABLET,L11K75P92J,filler,1.0
33,W76I6XXF06,TABLET,70097M6I30,lubricant,1.0
34,3ST302B24A,"TABLET, FILM COATED",70097M6I30,lubricant,1.0
35,73K4184T59,SOLUTION,A2I8C7HI9T,preservative,1.0
35,73K4184T59,SOLUTION,Z8IX2SC1OH,preservative,1.0
35,73K4184T59,SOLUTION,059QF0KO0R,solvent,1.0
36,BDF1O1C72E,SUSPENSION,A2I8C7HI9T,preservative,1.0
36,BDF1O1C72E,SUSPENSION,Z8IX2SC1OH,preservative,1.0
36,BDF1O1C72E,SUSPENSION,059QF0KO0R,solvent,1.0
37,229809935B,SOLUTION,8SKN0B0MIM,preservative,1.0
37,229809935B,SOLUTION,059QF0KO0R,solvent,1.0
38,U8HTX2GK8J,"TABLET, FILM COATED",M28OL1HH48,disintegrant,1.0
38,U8HTX2GK8J,"TABLET, FILM COATED",ETJ7Z6XBU4,glidant,1.0
38,U8HTX2GK8J,"TABLET, FILM COATED",70097M6I30,lubricant,1.0
39,0VE05JYS2P,"CAPSULE, EXTENDED RELEASE",2G86QN327L,binder,1.0
39,0VE05JYS2P,"CAPSULE, EXTENDED RELEASE",B697894SGQ,lubricant,1.0
39,0VE05JYS2P,"CAPSULE, EXTENDED RELEASE",Q662QK8M3B,lubricant,1.0
40,R61ZEH7I1I,SYRUP,059QF0KO0R,solvent,1.0
40,R61ZEH7I1I,SYRUP,7FLD91C86K,solubilizing_agent,1.0
40,R61ZEH7I1I,SYRUP,OJ245FE5EU,preservative,1.0
40,R61ZEH7I1I,SYRUP,SB8ZUX40TY,sweetening_agent,1.0
40,R61ZEH7I1I,SYRUP,DK6Y9P42IN,preservative,1.0
40,R61ZEH7I1I,SYRUP,PQ6CK8PD0R,antioxidant,1.0
40,R61ZEH7I1I,SYRUP,A2I8C7HI9T,preservative,1.0
41,3M8608UQ61,TABLET,L11K75P92J,filler,1.0
41,3M8608UQ61,TABLET,M28OL1HH48,disintegrant,1.0
41,3M8608UQ61,TABLET,3SY5LH9PMK,filler,1.0
41,3M8608UQ61,TABLET,7CV7WJK4UI,lubricant,1.0
42,W5S57Y3A5L,"TABLET, FILM COATED",ETJ7Z6XBU4,glidant,1.0
42,W5S57Y3A5L,"TABLET, FILM COATED",70097M6I30,lubricant,1.0
43,F8A3652H1V,TABLET,3SY5LH9PMK,filler,1.0
43,F8A3652H1V,TABLET,70097M6I30,lubricant,1.0
44,668Z8C33LU,TABLET,0BZ5A00FQU,disintegrant,1.0
44,668Z8C33LU,TABLET,REK4960K2U,antioxidant,1.0
44,668Z8C33LU,TABLET,PDC6A3C0OX,preservative,1.0
44,668Z8C33LU,TABLET,70097M6I30,lubricant,1.0
44,668Z8C33LU,TABLET,L11K75P92J,filler,1.0
45,927AH8112L,CAPSULE,2G86QN327L,binder,1.0
45,927AH8112L,CAPSULE,70097M6I30,lubricant,1.0
45,927AH8112L,CAPSULE,WZH3C48M4T,alkalizing_agent,1.0
46,55JG375S6M,CAPSULE,3K9958V90M,preservative,1.0
46,55JG375S6M,CAPSULE,5138Q19F1X,alkalizing_agent,1.0
46,55JG375S6M,CAPSULE,2G86QN327L,binder,1.0
46,55JG375S6M,CAPSULE,WZH3C48M4T,alkalizing_agent,1.0
47,VB0R961HZT,TABLET,70097M6I30,lubricant,1.0
47,VB0R961HZT,TABLET,ETJ7Z6XBU4,glidant,1.0
48,76755771U3,"TABLET, FILM COATED",R12CBM0EIZ,coating_agent,1.0
48,76755771U3,"TABLET, FILM COATED",ETJ7Z6XBU4,glidant,1.0
48,76755771U3,"TABLET, FILM COATED",2S7830E561,disintegrant,1.0
48,76755771U3,"TABLET, FILM COATED",70097M6I30,lubricant,1.0
48,76755771U3,"TABLET, FILM COATED",XHX3C3X673,plasticizer,1.0
49,44YRR34555,"TABLET, FILM COATED",2S7830E561,disintegrant,1.0
49,44YRR34555,"TABLET, FILM COATED",70097M6I30,lubricant,1.0
49,44YRR34555,"TABLET, FILM COATED",ETJ7Z6XBU4,glidant,1.0
50,WK2XYI10QM,SUSPENSION,059QF0KO0R,solvent,1.0
50,WK2XYI10QM,SUSPENSION,OJ245FE5EU,preservative,1.0
51,ZOU145W1XL,TABLET,70097M6I30,lubricant,1.0
51,ZOU145W1XL,TABLET,3WJQ0SDW1A,lubricant,1.0
52,6M97XTV3HD,"TABLET, FILM COATED",70097M6I30,lubricant,1.0
52,6M97XTV3HD,"TABLET, FILM COATED",M28OL1HH48,disintegrant,1.0
53,VG2QF83CGL,TABLET,ETJ7Z6XBU4,glidant,1.0
53,VG2QF83CGL,TABLET,2S7830E561,disintegrant,1.0
53,VG2QF83CGL,TABLET,70097M6I30,lubricant,1.0
53,VG2QF83CGL,TABLET,8MDF5V39QO,alkalizing_agent,1.0
53,VG2QF83CGL,TABLET,3WJQ0SDW1A,lubricant,1.0
54,WK2XYI10QM,"TABLET, FILM COATED",ETJ7Z6XBU4,glidant,1.0
54,WK2XYI10QM,"TABLET, FILM COATED",70097M6I30,lubricant,1.0
55,JJ768O327N,TABLET,ETJ7Z6XBU4,glidant,1.0
56,N1SN99T69T,CAPSULE,3SY5LH9PMK,filler,1.0
56,N1SN99T69T,CAPSULE,2G86QN327L,binder,1.0
56,N1SN99T69T,CAPSULE,ETJ7Z6XBU4,glidant,1.0
56,N1SN99T69T,CAPSULE,WZH3C48M4T,alkalizing_agent,1.0
56,N1SN99T69T,CAPSULE,70097M6I30,lubricant,1.0
57,UR59KN573L,"TABLET, FILM COATED",ETJ7Z6XBU4,glidant,1.0
57,UR59KN573L,"TABLET, FILM COATED",L11K75P92J,filler,1.0
57,UR59KN573L,"TABLET, FILM COATED",70097M6I30,lubricant,1.0
58,33CM23913M,"TABLET, FILM COATED, EXTENDED RELEASE",70097M6I30,lubricant,1.0
59,6CW7F3G59X,TABLET,3OWL53L36A,filler,1.0
59,6CW7F3G59X,TABLET,70097M6I30,lubricant,1.0
59,6CW7F3G59X,TABLET,2S7830E561,disintegrant,1.0
59,6CW7F3G59X,TABLET,ETJ7Z6XBU4,glidant,1.0
59,6CW7F3G59X,TABLET,3WJQ0SDW1A,lubricant,1.0
60,ZG7E5POY8O,"TABLET, FILM COATED",ETJ7Z6XBU4,glidant,1.0
60,ZG7E5POY8O,"TABLET, FILM COATED",70097M6I30,lubricant,1.0
61,55JG375S6M,CAPSULE,3OWL53L36A,filler,1.0
61,55JG375S6M,CAPSULE,2G86QN327L,binder,1.0
61,55JG375S6M,CAPSULE,WZH3C48M4T,alkalizing_agent,1.0
62,207LT9J9OC,TABLET,3SY5LH9PMK,filler,1.0
62,207LT9J9OC,TABLET,70097M6I30,lubricant,1.0
62,207LT9J9OC,TABLET,ETJ7Z6XBU4,glidant,1.0
63,6153CWM0CL,TABLET,ETJ7Z6XBU4,glidant,1.0
63,6153CWM0CL,TABLET,M28OL1HH48,disintegrant,1.0
63,6153CWM0CL,TABLET,70097M6I30,lubricant,1.0
64,838F01T721,"TABLET, EXTENDED RELEASE",ETJ7Z6XBU4,glidant,1.0
64,838F01T721,"TABLET, EXTENDED RELEASE",3WJQ0SDW1A,lubricant,1.0
64,838F01T721,"TABLET, EXTENDED RELEASE",70097M6I30,lubricant,1.0
64,838F01T721,"TABLET, EXTENDED RELEASE",V46Y6OJ5QB,lubricant,1.0
65,WK2XYI10QM,TABLET,ETJ7Z6XBU4,glidant,1.0
65,WK2XYI10QM,TABLET,M28OL1HH48,disintegrant,1.0
65,WK2XYI10QM,TABLET,70097M6I30,lubricant,1.0
65,WK2XYI10QM,TABLET,3WJQ0SDW1A,lubricant,1.0
66,W76I6XXF06,TABLET,70097M6I30,lubricant,1.0
67,320T6RNW1F,TABLET,ETJ7Z6XBU4,glidant,1.0
67,320T6RNW1F,TABLET,70097M6I30,lubricant,1.0
68,9O25354EPJ,TABLET,M28OL1HH48,disintegrant,1.0
68,9O25354EPJ,TABLET,70097M6I30,lubricant,1.0
68,9O25354EPJ,TABLET,8MDF5V39QO,alkalizing_agent,1.0
69,7LXU5N7ZO5,TABLET,70097M6I30,lubricant,1.0
70,X7WDT95N5C,"TABLET, EXTENDED RELEASE",3WJQ0SDW1A,lubricant,1.0
70,X7WDT95N5C,"TABLET, EXTENDED RELEASE",70097M6I30,lubricant,1.0
70,X7WDT95N5C,"TABLET, EXTENDED RELEASE",451W47IQ8X,filler,1.0
71,H0DE420U8G,TABLET,3SY5LH9PMK,filler,1.0
71,H0DE420U8G,TABLET,M28OL1HH48,disintegrant,1.0
71,H0DE420U8G,TABLET,F05Q2T2JA0,surfactant,1.0
71,H0DE420U8G,TABLET,70097M6I30,lubricant,1.0
72,5LGN83G74V,"TABLET, COATED",R12CBM0EIZ,coating_agent,1.0
72,5LGN83G74V,"TABLET, COATED",ETJ7Z6XBU4,glidant,1.0
72,5LGN83G74V,"TABLET, COATED",7CV7WJK4UI,lubricant,1.0
73,GNN1DV99GX,CAPSULE,5138Q19F1X,alkalizing_agent,1.0
73,GNN1DV99GX,CAPSULE,3SY5LH9PMK,filler,1.0
73,GNN1DV99GX,CAPSULE,2G86QN327L,binder,1.0
73,GNN1DV99GX,CAPSULE,70097M6I30,lubricant,1.0
75,8VZV102JFY,TABLET,L11K75P92J,filler,1.0
75,8VZV102JFY,TABLET,70097M6I30,lubricant,1.0
76,5LGN83G74V,"CAPSULE, EXTENDED RELEASE",2G86QN327L,binder,1.0
76,5LGN83G74V,"CAPSULE, EXTENDED RELEASE",5138Q19F1X,alkalizing_agent,1.0
77,0Y2S3XUQ5H,TABLET,3SY5LH9PMK,filler,1.0
77,0Y2S3XUQ5H,TABLET,70097M6I30,lubricant,1.0
78,M5DP350VZV,TABLET,ETJ7Z6XBU4,glidant,1.0
78,M5DP350VZV,TABLET,70097M6I30,lubricant,1.0
79,XB13HYU18U,TABLET,J2B2A4N98G,filler,1.0
79,XB13HYU18U,TABLET,70097M6I30,lubricant,1.0
80,0H73WJJ391,"TABLET, FILM COATED",ETJ7Z6XBU4,glidant,1.0
80,0H73WJJ391,"TABLET, FILM COATED",3SY5LH9PMK,filler,1.0
80,0H73WJJ391,"TABLET, FILM COATED",70097M6I30,lubricant,1.0
81,F8A3652H1V,TABLET,3SY5LH9PMK,filler,1.0
81,F8A3652H1V,TABLET,70097M6I30,lubricant,1.0
82,JCX84Q7J1L,CAPSULE,M28OL1HH48,disintegrant,1.0
82,JCX84Q7J1L,CAPSULE,70097M6I30,lubricant,1.0
82,JCX84Q7J1L,CAPSULE,2G86QN327L,binder,1.0
83,W24OD7YW48,TABLET,ETJ7Z6XBU4,glidant,1.0
84,5092U85G58,"TABLET, FILM COATED",70097M6I30,lubricant,1.0
85,36S3EQV54C,TABLET,F05Q2T2JA0,surfactant,1.0
85,36S3EQV54C,TABLET,70097M6I30,lubricant,1.0
86,013TE6E4WV,"TABLET, FILM COATED",3K9958V90M,preservative,1.0
86,013TE6E4WV,"TABLET, FILM COATED",ETJ7Z6XBU4,glidant,1.0
86,013TE6E4WV,"TABLET, FILM COATED",M28OL1HH48,disintegrant,1.0
86,013TE6E4WV,"TABLET, FILM COATED",70097M6I30,lubricant,1.0
87,0P6C6ZOP5U,TABLET,70097M6I30,lubricant,1.0
88,11SV1951MR,CAPSULE,776XM7047L,lubricant,1.0
88,11SV1951MR,CAPSULE,2G86QN327L,binder,1.0
88,11SV1951MR,CAPSULE,3K9958V90M,preservative,1.0
88,11SV1951MR,CAPSULE,WZH3C48M4T,alkalizing_agent,1.0
88,11SV1951MR,CAPSULE,5138Q19F1X,alkalizing_agent,1.0
89,JJ768O327N,TABLET,ETJ7Z6XBU4,glidant,1.0
90,451W47IQ8X,"POWDER, FOR SOLUTION",SB8ZUX40TY,sweetening_agent,1.0
90,451W47IQ8X,"POWDER, FOR SOLUTION",7CVR7L4A2D,suspending_thickening_agent,1.0
91,WK2XYI10QM,"TABLET, FILM COATED",ETJ7Z6XBU4,glidant,1.0
91,WK2XYI10QM,"TABLET, FILM COATED",70097M6I30,lubricant,1.0
92,0H73WJJ391,"CAPSULE, EXTENDED RELEASE",WZH3C48M4T,alkalizing_agent,1.0
93,0K5C5T2QPG,"CAPSULE, DELAYED RELEASE",3WJQ0SDW1A,lubricant,1.0
93,0K5C5T2QPG,"CAPSULE, DELAYED RELEASE",ETJ7Z6XBU4,glidant,1.0
93,0K5C5T2QPG,"CAPSULE, DELAYED RELEASE",70097M6I30,lubricant,1.0
93,0K5C5T2QPG,"CAPSULE, DELAYED RELEASE",3OWL53L36A,filler,1.0
94,LX1OH63030,"TABLET, EXTENDED RELEASE",ETJ7Z6XBU4,glidant,1.0
94,LX1OH63030,"TABLET, EXTENDED RELEASE",70097M6I30,lubricant,1.0
95,H789N3FKE8,TABLET,ETJ7Z6XBU4,glidant,1.0
95,H789N3FKE8,TABLET,70097M6I30,lubricant,1.0
96,Q3JTX2Q7TU,TABLET,3SY5LH9PMK,filler,1.0
96,Q3JTX2Q7TU,TABLET,ETJ7Z6XBU4,glidant,1.0
96,Q3JTX2Q7TU,TABLET,70097M6I30,lubricant,1.0
97,6CW7F3G59X,"TABLET, FILM COATED",70097M6I30,lubricant,1.0
98,44YRR34555,SOLUTION,23OV73Q5G9,sweetening_agent,1.0
98,44YRR34555,SOLUTION,D65DG142WK,sweetening_agent,1.0
98,44YRR34555,SOLUTION,A2I8C7HI9T,preservative,1.0
98,44YRR34555,SOLUTION,Z8IX2SC1OH,preservative,1.0
98,44YRR34555,SOLUTION,059QF0KO0R,solvent,1.0
99,44YRR34555,TABLET,70097M6I30,lubricant,1.0
99,44YRR34555,TABLET,B697894SGQ,lubricant,1.0
99,44YRR34555,TABLET,ETJ7Z6XBU4,glidant,1.0
100,ZG7E5POY8O,"TABLET, FILM COATED, EXTENDED RELEASE",70097M6I30,lubricant,1.0
101,CQ903KQA31,CAPSULE,3SY5LH9PMK,filler,1.0
101,CQ903KQA31,CAPSULE,ETJ7Z6XBU4,glidant,1.0
101,CQ903KQA31,CAPSULE,2G86QN327L,binder,1.0
101,CQ903KQA31,CAPSULE,70097M6I30,lubricant,1.0
101,CQ903KQA31,CAPSULE,WZH3C48M4T,alkalizing_agent,1.0
102,A051Q2099Q,"TABLET, FILM COATED",70097M6I30,lubricant,1.0
102,A051Q2099Q,"TABLET, FILM COATED",ETJ7Z6XBU4,glidant,1.0
103,W76I6XXF06,TABLET,O7TSZ97GEP,filler,1.0
103,W76I6XXF06,TABLET,PDC6A3C0OX,preservative,1.0
103,W76I6XXF06,TABLET,70097M6I30,lubricant,1.0
103,W76I6XXF06,TABLET,ETJ7Z6XBU4,glidant,1.0
104,SML2Y3J35T,TABLET,70097M6I30,lubricant,1.0
104,SML2Y3J35T,TABLET,3WJQ0SDW1A,lubricant,1.0
105,7S5I7G3JQL,ELIXIR,8SKN0B0MIM,preservative,1.0
105,7S5I7G3JQL,ELIXIR,7FLD91C86K,solubilizing_agent,1.0
105,7S5I7G3JQL,ELIXIR,059QF0KO0R,solvent,1.0
105,7S5I7G3JQL,ELIXIR,SB8ZUX40TY,sweetening_agent,1.0
106,W5S57Y3A5L,"TABLET, EXTENDED RELEASE",70097M6I30,lubricant,1.0
106,W5S57Y3A5L,"TABLET, EXTENDED RELEASE",4R4HFI6D95,lubricant,1.0
107,4182431BJH,CAPSULE,70097M6I30,lubricant,1.0
107,4182431BJH,CAPSULE,2G86QN327L,binder,1.0
108,0K47UL67F2,"TABLET, FILM COATED",ETJ7Z6XBU4,glidant,1.0
108,0K47UL67F2,"TABLET, FILM COATED",2S7830E561,disintegrant,1.0
108,0K47UL67F2,"TABLET, FILM COATED",70097M6I30,lubricant,1.0
110,W24OD7YW48,TABLET,70097M6I30,lubricant,1.0
111,786Z46389E,"TABLET, FILM COATED, EXTENDED RELEASE",3SY5LH9PMK,filler,1.0
111,786Z46389E,"TABLET, FILM COATED, EXTENDED RELEASE",2S7830E561,disintegrant,1.0
111,786Z46389E,"TABLET, FILM COATED, EXTENDED RELEASE",70097M6I30,lubricant,1.0
111,786Z46389E,"TABLET, FILM COATED, EXTENDED RELEASE",ETJ7Z6XBU4,glidant,1.0
112,0VE05JYS2P,"TABLET, FILM COATED",M28OL1HH48,disintegrant,1.0
112,0VE05JYS2P,"TABLET, FILM COATED",70097M6I30,lubricant,1.0
112,0VE05JYS2P,"TABLET, FILM COATED",ETJ7Z6XBU4,glidant,1.0
112,0VE05JYS2P,"TABLET, FILM COATED",XHX3C3X673,plasticizer,1.0
113,CQ903KQA31,TABLET,3SY5LH9PMK,filler,1.0
113,CQ903KQA31,TABLET,70097M6I30,lubricant,1.0
114,M329791L57,TABLET,2S7830E561,disintegrant,1.0
114,M329791L57,TABLET,70097M6I30,lubricant,1.0
114,M329791L57,TABLET,ETJ7Z6XBU4,glidant,1.0
115,5PE9FDE8GB,TABLET,M28OL1HH48,disintegrant,1.0
115,5PE9FDE8GB,TABLET,70097M6I30,lubricant,1.0
115,5PE9FDE8GB,TABLET,ETJ7Z6XBU4,glidant,1.0
116,3ST302B24A,"TABLET, FILM COATED",70097M6I30,lubricant,1.0
117,4B3SC438HI,"TABLET, CHEWABLE",96K6UQ3ZD4,sweetening_agent,1.0
118,9N7R477WCK,"TABLET, FILM COATED",70097M6I30,lubricant,1.0
119,6E8ZO8LRNM,TABLET,ETJ7Z6XBU4,glidant,1.0
119,6E8ZO8LRNM,TABLET,70097M6I30,lubricant,1.0
121,J0E2756Z7N,"TABLET, FILM COATED",M28OL1HH48,disintegrant,1.0
121,J0E2756Z7N,"TABLET, FILM COATED",ETJ7Z6XBU4,glidant,1.0
121,J0E2756Z7N,"TABLET, FILM COATED",70097M6I30,lubricant,1.0
121,J0E2756Z7N,"TABLET, FILM COATED",R12CBM0EIZ,coating_agent,1.0
122,L6UH7ZF8HC,SOLUTION,8SKN0B0MIM,preservative,1.0
122,L6UH7ZF8HC,SOLUTION,059QF0KO0R,solvent,1.0
123,8VZV102JFY,TABLET,L11K75P92J,filler,1.0
123,8VZV102JFY,TABLET,M28OL1HH48,disintegrant,1.0
123,8VZV102JFY,TABLET,70097M6I30,lubricant,1.0
124,8Q2869CNVH,"TABLET, FILM COATED",O7TSZ97GEP,filler,1.0
124,8Q2869CNVH,"TABLET, FILM COATED",70097M6I30,lubricant,1.0
125,44YRR34555,"TABLET, FILM COATED",2S7830E561,disintegrant,1.0
125,44YRR34555,"TABLET, FILM COATED",70097M6I30,lubricant,1.0
125,44YRR34555,"TABLET, FILM COATED",ETJ7Z6XBU4,glidant,1.0
125,44YRR34555,"TABLET, FILM COATED",M28OL1HH48,disintegrant,1.0
126,EE083865G2,CAPSULE,3OWL53L36A,filler,1.0
126,EE083865G2,CAPSULE,WZH3C48M4T,alkalizing_agent,1.0
127,4AF302ESOS,"TABLET, ORALLY DISINTEGRATING",Z0H242BBR1,sweetening_agent,1.0
127,4AF302ESOS,"TABLET, ORALLY DISINTEGRATING",ETJ7Z6XBU4,glidant,1.0
127,4AF302ESOS,"TABLET, ORALLY DISINTEGRATING",70097M6I30,lubricant,1.0
128,0K2I505OTV,TABLET,70097M6I30,lubricant,1.0
128,0K2I505OTV,TABLET,ETJ7Z6XBU4,glidant,1.0
129,VB0R961HZT,TABLET,70097M6I30,lubricant,1.0
130,60UAB198HK,TABLET,M28OL1HH48,disintegrant,1.0
130,60UAB198HK,TABLET,ETJ7Z6XBU4,glidant,1.0
130,60UAB198HK,TABLET,7CV7WJK4UI,lubricant,1.0
130,60UAB198HK,TABLET,3WJQ0SDW1A,lubricant,1.0
131,W5S57Y3A5L,TABLET,M28OL1HH48,disintegrant,1.0
131,W5S57Y3A5L,TABLET,ETJ7Z6XBU4,glidant,1.0
131,W5S57Y3A5L,TABLET,70097M6I30,lubricant,1.0
131,W5S57Y3A5L,TABLET,G2M7P15E5P,lubricant,1.0
132,26LUD4JO9K,TABLET,ETJ7Z6XBU4,glidant,1.0
132,26LUD4JO9K,TABLET,M28OL1HH48,disintegrant,1.0
132,26LUD4JO9K,TABLET,70097M6I30,lubricant,1.0
132,26LUD4JO9K,TABLET,Q662QK8M3B,lubricant,1.0
133,140QMO216E,CAPSULE,70097M6I30,lubricant,1.0
133,140QMO216E,CAPSULE,2G86QN327L,binder,1.0
134,46627O600J,TABLET,2S7830E561,disintegrant,1.0
134,46627O600J,TABLET,70097M6I30,lubricant,1.0
135,L9F3D9RENQ,TABLET,ETJ7Z6XBU4,glidant,1.0
135,L9F3D9RENQ,TABLET,70097M6I30,lubricant,1.0
136,2BMD2GNA4V,"TABLET, EXTENDED RELEASE",776XM7047L,lubricant,1.0
136,2BMD2GNA4V,"TABLET, EXTENDED RELEASE",3WJQ0SDW1A,lubricant,1.0
