row_idx,api_unii,dosage_form,excipient_unii,role,confidence,raw_prior,n_candidates,n_samples
26,OL961R6O2C,"TABLET, FILM COATED",5Y0974F5PW,binder,0.015090013586956521,0.060360054347826084,4,0
26,OL961R6O2C,"TABLET, FILM COATED",B1QE5P712K,coating_agent,0.0007685122282608696,0.006148097826086957,8,0
26,OL961R6O2C,"TABLET, FILM COATED",U076Q6Q621,plasticizer,0.03225806451612903,0.03225806451612903,1,7
27,VB0R961HZT,TABLET,EWQ57Q8I5X,filler,0.45147679324894513,0.9029535864978903,2,213
27,VB0R961HZT,TABLET,OP1R32D61U,disintegrant,0.000966183574879227,0.002898550724637681,3,321
27,VB0R961HZT,TABLET,O8232NY3SJ,binder,0.0012626262626262627,0.005050505050505051,4,174
28,11SV1951MR,CAPSULE,OP1R32D61U,filler,0.24251207729468596,0.7275362318840579,3,321
28,11SV1951MR,CAPSULE,368GB5141J,surfactant,0.5818181818181818,0.5818181818181818,1,31
28,11SV1951MR,CAPSULE,6DC9Q167V3,preservative,0.03121603260869565,0.0624320652173913,2,0
29,17ERJ0MKGI,TABLET,7773C1ROEU,binder,0.030180027173913042,0.060360054347826084,2,0
29,17ERJ0MKGI,TABLET,7SEV7J4R1U,filler,0.2811791383219955,0.8435374149659864,3,123
29,17ERJ0MKGI,TABLET,U725QWY32X,solubilizing_agent,0.7160493827160493,0.7160493827160493,1,57
29,17ERJ0MKGI,TABLET,0WZ8WG20P6,solubilizing_agent,0.002128623188405797,0.012771739130434783,6,0
30,X6Q56QN5QC,CAPSULE,2968PHW8QP,preservative,0.015608016304347825,0.0624320652173913,4,0
31,3M8608UQ61,TABLET,EWQ57Q8I5X,filler,0.45147679324894513,0.9029535864978903,2,213
31,3M8608UQ61,TABLET,OP1R32D61U,glidant,0.000966183574879227,0.002898550724637681,3,321
32,V9EFU16ZIF,CAPSULE,O8232NY3SJ,filler,0.22095959595959597,0.8838383838383839,4,174
32,V9EFU16ZIF,CAPSULE,6DC9Q167V3,preservative,0.03121603260869565,0.0624320652173913,2,0
33,W76I6XXF06,TABLET,O8232NY3SJ,disintegrant,0.0012626262626262627,0.005050505050505051,4,174
33,W76I6XXF06,TABLET,9XZ8H6N6OH,binder,0.020120018115942027,0.060360054347826084,3,0
34,3ST302B24A,"TABLET, FILM COATED",OP1R32D61U,glidant,0.000966183574879227,0.002898550724637681,3,321
34,3ST302B24A,"TABLET, FILM COATED",EWQ57Q8I5X,filler,0.45147679324894513,0.9029535864978903,2,213
34,3ST302B24A,"TABLET, FILM COATED",O8232NY3SJ,disintegrant,0.0012626262626262627,0.005050505050505051,4,174
34,3ST302B24A,"TABLET, FILM COATED",2165RE0K14,binder,0.015090013586956521,0.060360054347826084,4,0
34,3ST302B24A,"TABLET, FILM COATED",RFW2ET671P,coating_agent,0.0015370244565217391,0.006148097826086957,4,0
34,3ST302B24A,"TABLET, FILM COATED",0WZ8WG20P6,solubilizing_agent,0.002128623188405797,0.012771739130434783,6,0
35,73K4184T59,SOLUTION,3K9958V90M,preservative,0.9432098765432099,0.9432098765432099,1,381
35,73K4184T59,SOLUTION,PDC6A3C0OX,preservative,0.2962962962962963,0.8888888888888888,3,183
35,73K4184T59,SOLUTION,506T60A25R,sweetening_agent,0.00691802536231884,0.02075407608695652,3,0
36,BDF1O1C72E,SUSPENSION,3K9958V90M,preservative,0.9432098765432099,0.9432098765432099,1,381
36,BDF1O1C72E,SUSPENSION,PDC6A3C0OX,preservative,0.2962962962962963,0.8888888888888888,3,183
36,BDF1O1C72E,SUSPENSION,CI71S98N1Z,solubilizing_agent,0.006385869565217392,0.012771739130434783,2,0
36,BDF1O1C72E,SUSPENSION,6DC9Q167V3,preservative,0.0208106884057971,0.0624320652173913,3,0
36,BDF1O1C72E,SUSPENSION,C151H8M554,suspending_thickening_agent,0.01020408163265306,0.02040816326530612,2,25
36,BDF1O1C72E,SUSPENSION,6M3P64V0NC,suspending_thickening_agent,0.004296875,0.00859375,2,0
37,229809935B,SOLUTION,3K9958V90M,preservative,0.9432098765432099,0.9432098765432099,1,381
37,229809935B,SOLUTION,PDC6A3C0OX,preservative,0.2962962962962963,0.8888888888888888,3,183
37,229809935B,SOLUTION,506T60A25R,sweetening_agent,0.00691802536231884,0.02075407608695652,3,0
38,U8HTX2GK8J,"TABLET, FILM COATED",EWQ57Q8I5X,binder,0.002109704641350211,0.004219409282700422,2,213
38,U8HTX2GK8J,"TABLET, FILM COATED",532B59J990,coating_agent,0.0047619047619047615,0.014285714285714285,3,46
38,U8HTX2GK8J,"TABLET, FILM COATED",7SEV7J4R1U,filler,0.2811791383219955,0.8435374149659864,3,123
38,U8HTX2GK8J,"TABLET, FILM COATED",G2M7P15E5P,plasticizer,0.006711409395973154,0.006711409395973154,1,125
39,0VE05JYS2P,"CAPSULE, EXTENDED RELEASE",0WZ8WG20P6,controlled_release,0.0001401154891304348,0.0011209239130434783,8,0
39,0VE05JYS2P,"CAPSULE, EXTENDED RELEASE",C151H8M554,filler,0.17687074829931973,0.5306122448979592,3,25
39,0VE05JYS2P,"CAPSULE, EXTENDED RELEASE",O8232NY3SJ,disintegrant,0.0012626262626262627,0.005050505050505051,4,174
40,R61ZEH7I1I,SYRUP,B22547B95K,alkalizing_agent,0.013688858695652175,0.0547554347826087,4,0
40,R61ZEH7I1I,SYRUP,C151H8M554,suspending_thickening_agent,0.01020408163265306,0.02040816326530612,2,25
40,R61ZEH7I1I,SYRUP,PDC6A3C0OX,preservative,0.2962962962962963,0.8888888888888888,3,183
40,R61ZEH7I1I,SYRUP,3K9958V90M,preservative,0.9432098765432099,0.9432098765432099,1,381
41,3M8608UQ61,TABLET,OP1R32D61U,glidant,0.000966183574879227,0.002898550724637681,3,321
41,3M8608UQ61,TABLET,U725QWY32X,binder,0.004115226337448559,0.012345679012345678,3,57
42,W5S57Y3A5L,"TABLET, FILM COATED",OP1R32D61U,disintegrant,0.000966183574879227,0.002898550724637681,3,321
42,W5S57Y3A5L,"TABLET, FILM COATED",O8232NY3SJ,binder,0.0012626262626262627,0.005050505050505051,4,174
42,W5S57Y3A5L,"TABLET, FILM COATED",7SEV7J4R1U,filler,0.2811791383219955,0.8435374149659864,3,123
42,W5S57Y3A5L,"TABLET, FILM COATED",0WZ8WG20P6,coating_agent,0.0007685122282608696,0.006148097826086957,8,0
42,W5S57Y3A5L,"TABLET, FILM COATED",368GB5141J,surfactant,0.5818181818181818,0.5818181818181818,1,31
42,W5S57Y3A5L,"TABLET, FILM COATED",B697894SGQ,plasticizer,0.003355704697986577,0.003355704697986577,1,274
43,F8A3652H1V,TABLET,OP1R32D61U,disintegrant,0.000966183574879227,0.002898550724637681,3,321
44,668Z8C33LU,TABLET,OP1R32D61U,glidant,0.000966183574879227,0.002898550724637681,3,321
44,668Z8C33LU,TABLET,FZ989GH94E,binder,0.0030303030303030303,0.00909090909090909,3,86
44,668Z8C33LU,TABLET,O8232NY3SJ,granulation_aid,0.005050505050505051,0.005050505050505051,1,174
44,668Z8C33LU,TABLET,LQA7B6G8JG,solubilizing_agent,0.004257246376811594,0.012771739130434783,3,0
45,927AH8112L,CAPSULE,EWQ57Q8I5X,filler,0.45147679324894513,0.9029535864978903,2,213
45,927AH8112L,CAPSULE,RDH86HJV5Z,disintegrant,0.009523809523809523,0.02857142857142857,3,11
45,927AH8112L,CAPSULE,7SEV7J4R1U,glidant,0.0022675736961451248,0.006802721088435374,3,123
45,927AH8112L,CAPSULE,HHT01ZNK31,surfactant,0.0038609601449275366,0.01158288043478261,3,0
45,927AH8112L,CAPSULE,O8232NY3SJ,granulation_aid,0.005050505050505051,0.005050505050505051,1,174
45,927AH8112L,CAPSULE,U725QWY32X,solubilizing_agent,0.7160493827160493,0.7160493827160493,1,57
45,927AH8112L,CAPSULE,C151H8M554,granulation_aid,0.02040816326530612,0.02040816326530612,1,25
46,55JG375S6M,CAPSULE,368GB5141J,lubricant,0.00909090909090909,0.01818181818181818,2,31
46,55JG375S6M,CAPSULE,O8232NY3SJ,filler,0.22095959595959597,0.8838383838383839,4,174
46,55JG375S6M,CAPSULE,7SEV7J4R1U,glidant,0.0022675736961451248,0.006802721088435374,3,123
46,55JG375S6M,CAPSULE,6DC9Q167V3,preservative,0.03121603260869565,0.0624320652173913,2,0
47,VB0R961HZT,TABLET,EWQ57Q8I5X,filler,0.45147679324894513,0.9029535864978903,2,213
47,VB0R961HZT,TABLET,OP1R32D61U,disintegrant,0.000966183574879227,0.002898550724637681,3,321
47,VB0R961HZT,TABLET,O8232NY3SJ,binder,0.0012626262626262627,0.005050505050505051,4,174
48,76755771U3,"TABLET, FILM COATED",EWQ57Q8I5X,filler,0.45147679324894513,0.9029535864978903,2,213
48,76755771U3,"TABLET, FILM COATED",3NXW29V3WO,binder,0.0075450067934782605,0.060360054347826084,8,0
48,76755771U3,"TABLET, FILM COATED",3WJQ0SDW1A,plasticizer,0.001430615164520744,0.001430615164520744,1,675
48,76755771U3,"TABLET, FILM COATED",532B59J990,stabilizing_agent,0.6714285714285714,0.6714285714285714,1,46
49,44YRR34555,"TABLET, FILM COATED",0VUT3PMY82,binder,0.0075450067934782605,0.060360054347826084,8,0
49,44YRR34555,"TABLET, FILM COATED",532B59J990,coating_agent,0.0047619047619047615,0.014285714285714285,3,46
49,44YRR34555,"TABLET, FILM COATED",O8232NY3SJ,filler,0.22095959595959597,0.8838383838383839,4,174
49,44YRR34555,"TABLET, FILM COATED",0WZ8WG20P6,solubilizing_agent,0.002128623188405797,0.012771739130434783,6,0
49,44YRR34555,"TABLET, FILM COATED",4R4HFI6D95,plasticizer,0.01098901098901099,0.01098901098901099,1,67
49,44YRR34555,"TABLET, FILM COATED",FZ989GH94E,solubilizing_agent,0.7909090909090909,0.7909090909090909,1,86
50,WK2XYI10QM,SUSPENSION,PDC6A3C0OX,preservative,0.2962962962962963,0.8888888888888888,3,183
50,WK2XYI10QM,SUSPENSION,XY6UN3QB6S,sweetening_agent,0.00691802536231884,0.02075407608695652,3,0
50,WK2XYI10QM,SUSPENSION,3NXW29V3WO,solubilizing_agent,0.002128623188405797,0.012771739130434783,6,0
50,WK2XYI10QM,SUSPENSION,6DC9Q167V3,preservative,0.0208106884057971,0.0624320652173913,3,0
50,WK2XYI10QM,SUSPENSION,TTV12P4NEE,stabilizing_agent,0.39732142857142855,0.7946428571428571,2,88
50,WK2XYI10QM,SUSPENSION,506T60A25R,sweetening_agent,0.00691802536231884,0.02075407608695652,3,0
51,ZOU145W1XL,TABLET,OP1R32D61U,glidant,0.000966183574879227,0.002898550724637681,3,321
51,ZOU145W1XL,TABLET,EWQ57Q8I5X,filler,0.45147679324894513,0.9029535864978903,2,213
51,ZOU145W1XL,TABLET,3NXW29V3WO,binder,0.008622864906832298,0.060360054347826084,7,0
51,ZOU145W1XL,TABLET,C269C4G2ZQ,disintegrant,0.03294836956521739,0.09884510869565218,3,4
51,ZOU145W1XL,TABLET,O8232NY3SJ,granulation_aid,0.005050505050505051,0.005050505050505051,1,174
51,ZOU145W1XL,TABLET,VH2XOU12IE,granulation_aid,0.020833333333333332,0.020833333333333332,1,24
51,ZOU145W1XL,TABLET,1DI56QDM62,solubilizing_agent,0.006385869565217392,0.012771739130434783,2,0
52,6M97XTV3HD,"TABLET, FILM COATED",3NXW29V3WO,coating_agent,0.0007685122282608696,0.006148097826086957,8,0
52,6M97XTV3HD,"TABLET, FILM COATED",EWQ57Q8I5X,filler,0.45147679324894513,0.9029535864978903,2,213
52,6M97XTV3HD,"TABLET, FILM COATED",O8232NY3SJ,binder,0.0012626262626262627,0.005050505050505051,4,174
52,6M97XTV3HD,"TABLET, FILM COATED",7SEV7J4R1U,glidant,0.0022675736961451248,0.006802721088435374,3,123
52,6M97XTV3HD,"TABLET, FILM COATED",30IQX730WE,plasticizer,0.009009009009009009,0.009009009009009009,1,87
53,VG2QF83CGL,TABLET,O8232NY3SJ,filler,0.22095959595959597,0.8838383838383839,4,174
53,VG2QF83CGL,TABLET,FZ989GH94E,binder,0.0030303030303030303,0.00909090909090909,3,86
53,VG2QF83CGL,TABLET,532B59J990,stabilizing_agent,0.6714285714285714,0.6714285714285714,1,46
54,WK2XYI10QM,"TABLET, FILM COATED",OP1R32D61U,disintegrant,0.000966183574879227,0.002898550724637681,3,321
54,WK2XYI10QM,"TABLET, FILM COATED",O8232NY3SJ,binder,0.0012626262626262627,0.005050505050505051,4,174
54,WK2XYI10QM,"TABLET, FILM COATED",3NXW29V3WO,coating_agent,0.0007685122282608696,0.006148097826086957,8,0
54,WK2XYI10QM,"TABLET, FILM COATED",EWQ57Q8I5X,filler,0.45147679324894513,0.9029535864978903,2,213
54,WK2XYI10QM,"TABLET, FILM COATED",1Q73Q2JULR,alkalizing_agent,0.0182518115942029,0.0547554347826087,3,0
54,WK2XYI10QM,"TABLET, FILM COATED",3WJQ0SDW1A,plasticizer,0.001430615164520744,0.001430615164520744,1,675
55,JJ768O327N,TABLET,OP1R32D61U,filler,0.24251207729468596,0.7275362318840579,3,321
55,JJ768O327N,TABLET,4ELV7Z65AP,lubricant,0.10491394927536231,0.31474184782608694,3,0
56,N1SN99T69T,CAPSULE,FZ989GH94E,disintegrant,0.0030303030303030303,0.00909090909090909,3,86
56,N1SN99T69T,CAPSULE,6DC9Q167V3,preservative,0.03121603260869565,0.0624320652173913,2,0
57,UR59KN573L,"TABLET, FILM COATED",O8232NY3SJ,binder,0.0012626262626262627,0.005050505050505051,4,174
57,UR59KN573L,"TABLET, FILM COATED",3NXW29V3WO,coating_agent,0.0007685122282608696,0.006148097826086957,8,0
57,UR59KN573L,"TABLET, FILM COATED",OP1R32D61U,disintegrant,0.000966183574879227,0.002898550724637681,3,321
57,UR59KN573L,"TABLET, FILM COATED",3WJQ0SDW1A,plasticizer,0.001430615164520744,0.001430615164520744,1,675
58,33CM23913M,"TABLET, FILM COATED, EXTENDED RELEASE",3NXW29V3WO,coating_agent,0.0006831219806763285,0.006148097826086957,9,0
58,33CM23913M,"TABLET, FILM COATED, EXTENDED RELEASE",T4V6TWG28D,binder,0.12857142857142856,0.2571428571428571,2,11
58,33CM23913M,"TABLET, FILM COATED, EXTENDED RELEASE",3OWL53L36A,filler,0.4578096947935368,0.9156193895870736,2,533
58,33CM23913M,"TABLET, FILM COATED, EXTENDED RELEASE",3J2P07GVB6,controlled_release,0.0003736413043478261,0.0011209239130434783,3,4
58,33CM23913M,"TABLET, FILM COATED, EXTENDED RELEASE",368GB5141J,surfactant,0.5818181818181818,0.5818181818181818,1,31
58,33CM23913M,"TABLET, FILM COATED, EXTENDED RELEASE",Q662QK8M3B,plasticizer,0.005076142131979695,0.005076142131979695,1,173
58,33CM23913M,"TABLET, FILM COATED, EXTENDED RELEASE",6DC9Q167V3,preservative,0.0208106884057971,0.0624320652173913,3,0
59,6CW7F3G59X,TABLET,9XZ8H6N6OH,binder,0.020120018115942027,0.060360054347826084,3,0
59,6CW7F3G59X,TABLET,TUF2IVW3M2,solubilizing_agent,0.004257246376811594,0.012771739130434783,3,0
59,6CW7F3G59X,TABLET,D9C330MD8B,granulation_aid,1.5e-07,1e-06,1,0
59,6CW7F3G59X,TABLET,3NXW29V3WO,solubilizing_agent,0.002128623188405797,0.012771739130434783,6,0
60,ZG7E5POY8O,"TABLET, FILM COATED",RFW2ET671P,binder,0.015090013586956521,0.060360054347826084,4,0
60,ZG7E5POY8O,"TABLET, FILM COATED",3NXW29V3WO,coating_agent,0.0007685122282608696,0.006148097826086957,8,0
60,ZG7E5POY8O,"TABLET, FILM COATED",4GFU244C4J,disintegrant,0.024711277173913044,0.09884510869565218,4,1
60,ZG7E5POY8O,"TABLET, FILM COATED",88XHZ13131,antioxidant,0.009493885869565217,0.018987771739130434,2,0
60,ZG7E5POY8O,"TABLET, FILM COATED",Q662QK8M3B,plasticizer,0.005076142131979695,0.005076142131979695,1,173
61,55JG375S6M,CAPSULE,7SEV7J4R1U,glidant,0.0022675736961451248,0.006802721088435374,3,123
61,55JG375S6M,CAPSULE,368GB5141J,lubricant,0.00909090909090909,0.01818181818181818,2,31
61,55JG375S6M,CAPSULE,6DC9Q167V3,preservative,0.03121603260869565,0.0624320652173913,2,0
62,207LT9J9OC,TABLET,OP1R32D61U,disintegrant,0.000966183574879227,0.002898550724637681,3,321
