formulation_id,formulation_name,dosage_form,excipient_name,textbook_role,api_unii,excipient_unii
F7,Liquid Cough Composition Example I,SOLUTION,Carboxymethylcellulose,Thickening agent,Z0CG3115FG,05JZI7B19X
F7,Liquid Cough Composition Example I,SOLUTION,Polysorbate 80,Miscellaneous ingredient,Z0CG3115FG,6OZP39ZG8H
F7,Liquid Cough Composition Example I,SOLUTION,Glycerin,"Cosolvent, Thickening agent",Z0CG3115FG,PDC6A3C0OX
F7,Liquid Cough Composition Example I,SOLUTION,Sorbitol,"Cosolvent, Sweetening agent",Z0CG3115FG,506T60A25R
F7,Liquid Cough Composition Example I,SOLUTION,Glycine,Buffer system component,Z0CG3115FG,TE7660XO1C
F7,Liquid Cough Composition Example I,SOLUTION,Sodium Hydroxide,Buffer system component,Z0CG3115FG,55X04QC32I
F7,Liquid Cough Composition Example I,SOLUTION,Purified Water,Vehicle,Z0CG3115FG,059QF0KO0R
F9,Fosfomycin Powder for Solution,"POWDER, FOR SOLUTION",Glycine,Diluent,7FXW6U30GY,TE7660XO1C
F9,Fosfomycin Powder for Solution,"POWDER, FOR SOLUTION",Sucralose,Sweetener,7FXW6U30GY,96K6UQ3ZD4
F9,Fosfomycin Powder for Solution,"POWDER, FOR SOLUTION",Lemon flavour,Flavour,7FXW6U30GY,24RS0A988O
F9,Fosfomycin Powder for Solution,"POWDER, FOR SOLUTION",Silicon dioxide,Glidant,7FXW6U30GY,ETJ7Z6XBU4
F9,Fosfomycin Powder for Solution,"POWDER, FOR SOLUTION",Polyvinylpyrrolidone,Binder,7FXW6U30GY,FZ989GH94E
F10,Mesalamine DR Capsule,"CAPSULE, DELAYED RELEASE, COATED",Microcrystalline cellulose,Diluent,4Q81I59GXC,OP1R32D61U
F10,Mesalamine DR Capsule,"CAPSULE, DELAYED RELEASE, COATED",Polyvinylpyrrolidone,Binder,4Q81I59GXC,FZ989GH94E
F10,Mesalamine DR Capsule,"CAPSULE, DELAYED RELEASE, COATED",Sodium starch glycolate,Disintegrant,4Q81I59GXC,H8AV0SQX4D
F10,Mesalamine DR Capsule,"CAPSULE, DELAYED RELEASE, COATED",Colloidal silicon dioxide,"Lubricant, Glidant",4Q81I59GXC,ETJ7Z6XBU4
F10,Mesalamine DR Capsule,"CAPSULE, DELAYED RELEASE, COATED",Talc,"Lubricant, Glidant",4Q81I59GXC,7SEV7J4R1U
F10,Mesalamine DR Capsule,"CAPSULE, DELAYED RELEASE, COATED",Magnesium stearate,"Lubricant, Glidant",4Q81I59GXC,70097M6I30
F10,Mesalamine DR Capsule,"CAPSULE, DELAYED RELEASE, COATED",Methacrylic acid copolymer,Enteric polymer,4Q81I59GXC,5KY68S2577
F10,Mesalamine DR Capsule,"CAPSULE, DELAYED RELEASE, COATED",Titanium dioxide,Not explicitly stated,4Q81I59GXC,15FIX9V2JP
F10,Mesalamine DR Capsule,"CAPSULE, DELAYED RELEASE, COATED",Acetyl tributyl citrate,Not explicitly stated,4Q81I59GXC,0ZBX0N59RZ
F11,Levetiracetam ER Tablet,"TABLET, EXTENDED RELEASE",Hypromellose,Matrix former,44YRR34555,3NXW29V3WO
F11,Levetiracetam ER Tablet,"TABLET, EXTENDED RELEASE",Colloidal silicon dioxide,Glidant,44YRR34555,ETJ7Z6XBU4
F11,Levetiracetam ER Tablet,"TABLET, EXTENDED RELEASE",Silicified microcrystalline cellulose,Diluent,44YRR34555,88X4A2YW6T
F11,Levetiracetam ER Tablet,"TABLET, EXTENDED RELEASE",Magnesium stearate,Lubricant,44YRR34555,70097M6I30
F12,Ambroxol HCl Cough Syrup A,SYRUP,Benzoic acid,Preservative,CC995ZMV90,8SKN0B0MIM
F12,Ambroxol HCl Cough Syrup A,SYRUP,Hydroxyethylcellulose,Thickener,CC995ZMV90,T4V6TWG28D
F12,Ambroxol HCl Cough Syrup A,SYRUP,Sucralose,Sweetener,CC995ZMV90,96K6UQ3ZD4
F12,Ambroxol HCl Cough Syrup A,SYRUP,Water,Solvent,CC995ZMV90,059QF0KO0R
