excipient_names,unii,num_names,count
D&C RED NO. 33,9DBA0SBB0L,1,89
FD&C GREEN NO. 3,3P3ONR6O1S,1,86
aspartame,Z0H242BBR1,1,86
FD&C YELLOW NO. 5,I753WB2F1M,1,85
D&C RED NO. 27,2LRS185U6K,1,85
POLACRILIN POTASSIUM,0BZ5A00FQU,1,78
"HYDROGENATED COTTONSEED OIL, hydrogenated cottonseed oil",Z82Y2C65EA,2,72
BUTYLATED HYDROXYTOLUENE,1P9D0Z171K,1,71
.ALPHA.-TOCOPHEROL,H4N855PNZ1,1,70
"POVIDONE K25, Povidone K25",K0KQV10C35,2,70
HYDROCHLORIC ACID,QTT17582CB,1,69
"HYPROMELLOSE 2208 (100 MPA.S), Hypromellose 2208 (100 Mpa.S)",B1QE5P712K,2,67
"SODIUM STARCH GLYCOLATE TYPE A CORN, Sodium Starch Glycolate Type A Corn, sodium starch glycolate type a corn",AG9B65PV6B,3,65
GLYCERYL DIBEHENATE,R8WTH25YS2,1,64
TARTARIC ACID,W4888I119H,1,62
"POLOXAMER 407, Poloxamer 407, poloxamer 407",TUF2IVW3M2,3,62
SHELLAC,MB5IUD6JUA,1,62
CELLULOSE ACETATE,3J2P07GVB6,1,59
INDIGOTINDISULFONATE SODIUM,D3741U8K7L,1,57
"HYDROXYPROPYL CELLULOSE (120000 MW), HYDROXYPROPYL CELLULOSE (90000 WAMW), HYDROXYPROPYL CELLULOSE (TYPE L), Hydroxypropyl Cellulose (90000 WAMW), Hydroxypropyl Cellulose (Type L), hydroxypropyl cellulose (90000 wamw)",UKE75GEA7F,6,55
"HYDROGENATED CASTOR OIL, hydrogenated castor oil",ZF94AP8MEY,2,55
HYPROMELLOSE 2910 (50 MPA.S),1IVH67816N,1,54
POTASSIUM SORBATE,1VPU26JZZ4,1,50
"PEPPERMINT, Peppermint, peppermint",V95R5KMY2B,3,50
MAGNESIUM OXIDE,3A3U0GI71G,1,49
MEGLUMINE,6HG8UB2MUY,1,49
DIBUTYL SEBACATE,4W5IH7FLNY,1,49
FERROUS FUMARATE,R5L488RY0Q,1,49
POWDERED CELLULOSE,SMD1X3XO9M,1,48
HYDROXYPROPYL CELLULOSE (110000 WAMW),5Y0974F5PW,1,46
FD&C YELLOW NO. 6 ALUMINUM LAKE,GYP6Z2JR6Q,1,46
SODIUM ALGINATE,C269C4G2ZQ,1,45
glyceryl monostearate,230OU9XXE4,1,45
"ETHYLCELLULOSE (10 MPA.S), ethylcellulose (10 MPA.S)",3DYK7UYZ62,2,43
HYPROMELLOSE 2208 (100000 MPA.S),VM7F0B23ZI,1,42
"HYPROMELLOSE 2208 (15000 CPS), HYPROMELLOSE 2208 (15000 MPA.S), Hypromellose 2208 (15000 MPA.S), hypromellose 2208 (15000 MPA.S), hypromellose 2208 (15000 mpa.s)",Z78RG6M2N2,5,41
"SORBITOL SOLUTION, SORBITOL SOLUTION 70%, sorbitol solution",8KW3E207O2,3,39
METHACRYLIC ACID,1CS02G8656,1,38
SORBIC ACID,X045WJ989B,1,37
ACESULFAME POTASSIUM,23OV73Q5G9,1,37
XYLITOL,VCQ006KQ1E,1,36
"CALCIUM SULFATE, UNSPECIFIED FORM",WAT0DDB505,1,36
HYPROMELLOSE 2208 (3 MPA.S),9H4L916OBU,1,36
POVIDONE K29/32,390RMW2PEQ,1,35
VANILLIN,CHI530446X,1,35
CALCIUM CARBONATE,H0G9379FGK,1,35
"METHACRYLIC ACID - METHYL METHACRYLATE COPOLYMER (1:2), Methacrylic Acid - Methyl Methacrylate Copolymer (1:2), methacrylic acid - methyl methacrylate copolymer (1:2)",5KY68S2577,3,35
CALCIUM SULFATE DIHYDRATE,4846Q921YM,1,34
MAGNESIUM ALUMINUM SILICATE,6M3P64V0NC,1,33
DIETHYL PHTHALATE,UF064M00AF,1,32
BENZYL ALCOHOL,LKG8494WBH,1,31
"CROSPOVIDONE (12 MPA.S AT 5%), CROSPOVIDONE (35 .MU.M)",40UAA97IT9,2,30
".ALPHA.-TOCOPHEROL, DL-",7QWA1RIO01,1,30
FD&C RED NO. 40 ALUMINUM LAKE,6T47AS764T,1,29
"HYDROXYPROPYL CELLULOSE (70000 WAMW), HYDROXYPROPYL CELLULOSE (TYPE E)",66O7AQV0RT,2,29
PROPYL GALLATE,8D4SNN7V92,1,28
"SOYBEAN OIL, soybean oil",241ATL177A,2,28
"PEPPERMINT OIL, Peppermint Oil, peppermint oil",AV092KU4JH,3,27
OLEIC ACID,2UMI9U37CP,1,27
POLYETHYLENE GLYCOL 3000,SA1B764746,1,27
Dimethylaminoethyl Methacrylate - Butyl Methacrylate - Methyl Methacrylate Copolymer,905HNO1SIH,1,26
POLYOXYL 40 HYDROGENATED CASTOR OIL,7YC686GQ8F,1,26
MALIC ACID,817L1N4CKP,1,26
Acetic Acid,Q40Q9N063P,1,26
METHYL ALCOHOL,Y4S76JWI15,1,25
"ALGINIC ACID, alginic acid",8C3Z4148WZ,2,25
"CARBOXYMETHYLCELLULOSE CALCIUM, carboxymethylcellulose calcium",UTY7PDF93L,2,24
"SODIUM PHOSPHATE, DIBASIC, ANHYDROUS",22ADO53M6F,1,24
"HYPROMELLOSE PHTHALATE (24% PHTHALATE, 55 CST), Hypromellose Phthalate (24% Phthalate, 55 Cst), hypromellose phthalate (24% phthalate, 55 CST)",87Y6436BKR,3,24
GUAR GUM,E89I1637KE,1,24
METHYLCELLULOSE (100 MPA.S),4GFU244C4J,1,24
FUMARIC ACID,88XHZ13131,1,23
"DEXTROSE, UNSPECIFIED FORM",IY9XDZ35W2,1,23
"NONCRYSTALLIZING SORBITOL SOLUTION, Noncrystallizing sorbitol solution",9E0S3UM200,2,23
POLYETHYLENE OXIDE 200000,11628IH70O,1,23
HYPROMELLOSE 2208 (4000 MPA.S),39J80LT57T,1,23
SODIUM PROPIONATE,DK6Y9P42IN,1,23
GLYCERYL MONO- AND DICAPRYLOCAPRATE,U72Q2I8C85,1,22
METHYLCELLULOSE (15 CPS),NPU9M2E6L8,1,22
POLYSORBATE 20,7T1F30V5YH,1,22
ZINC STEARATE,H92E6QA4FV,1,22
SODIUM CARBONATE,45P3261C7T,1,22
ORANGE,5EVU04N5QU,1,22
HYPROMELLOSE ACETATE SUCCINATE 06081224 (3 MPA.S),6N003M473W,1,22
D&C RED NO. 7,ECW0LZ41X8,1,21
MALTITOL,D65DG142WK,1,21
"HYPROMELLOSE PHTHALATE (31% PHTHALATE, 40 CST)",G4U024CQK6,1,21
SUCCINIC ACID,AB6MNQ6J6L,1,21
"ETHYLCELLULOSE (100 CPS), ETHYLCELLULOSE (100 MPA.S), ethylcellulose (100 mpa.s)",47MLB0F1MV,3,21
"STARCH, POTATO, starch, potato",8I089SAH3T,2,21
DIACETYLATED MONOGLYCERIDES,5Z17386USF,1,20
magnesium carbonate,0E53J927NA,1,20
MICROCRYSTALLINE CELLULOSE 112,X7XJ6RM9Q2,1,20
BENZOIC ACID,8SKN0B0MIM,1,19
Phosphoric Acid,E4GA8884NN,1,19
TRIBASIC CALCIUM PHOSPHATE,91D9GV0Z28,1,19
D&C RED NO. 27 ALUMINUM LAKE,ZK64F7XSTX,1,19
"STRAWBERRY, Strawberry, strawberry",4J2TY8Y81V,3,19
ACETYLTRIBUTYL CITRATE,0ZBX0N59RZ,1,18
MENTHOL,L7T10EIP3A,1,18
"HYPROMELLOSE 2910 (15000 MPA.S), Hypromellose 2910 (15000 MPA.S)",288VBX44JC,2,18
SODIUM PHOSPHATE DIBASIC DIHYDRATE,94255I6E2T,1,18
"AMMONIO METHACRYLATE COPOLYMER TYPE B, EUDRAGIT RS 30",161H3B14U2,2,18
"PEANUT OIL, Peanut Oil",5TL50QU0W4,2,17
SPEARMINT,J7I2T6IV1N,1,17
"POLYVINYL ACETATE PHTHALATE, Polyvinyl Acetate Phthalate",58QVG85GW3,2,17
"GLYCERYL CAPRYLATE/CAPRATE, GLYCERYL MONOCAPRYLOCAPRATE, Glyceryl Monocaprylocaprate",G7515SW10N,3,17
SORBITAN MONOOLEATE,06XEA2VD56,1,17
ETHYLCELLULOSE (20 MPA.S),BJG0S321QY,1,17
POLYETHYLENE GLYCOL 1000,U076Q6Q621,1,17
METHYLPARABEN SODIUM,CR6K9C2NHK,1,17
"ETHYL ACRYLATE - METHYL METHACRYLATE COPOLYMER, ETHYL ACRYLATE AND METHYL METHACRYLATE COPOLYMER (2:1; 750000 MW)",P2OM2Q86BI,2,17
"DEXTRATES, dextrates",G263MI44RU,2,17
CALCIUM PHOSPHATE,97Z1WI3NDX,1,17
D&C RED NO. 6,481744AI4O,1,16
POTASSIUM CHLORIDE,660YQ98I10,1,16
MAGNESIUM HYDROXIDE,NBZ3QY004S,1,16
"HYDROXYETHYL CELLULOSE (140 CPS AT 5%), HYDROXYETHYL CELLULOSE (140 MPA.S AT 5%), hydroxyethyl cellulose (140 MPA.S at 5%)",8136Y38GY5,3,16
MINERAL OIL,T5L8T28FGP,1,16
BUTYLPARABEN,3QPI1U3FV8,1,16
AMMONIO METHACRYLATE COPOLYMER TYPE A,8GQS4E66YY,1,16
Ethyl acetate,76845O8NMZ,1,15
GLYCINE,TE7660XO1C,1,15
CETYL ALCOHOL,936JST6JCN,1,15
CHERRY,BUC5I9595W,1,15
EDETATE CALCIUM DISODIUM,25IH6R4SGF,1,15
"RAW SUGAR, Raw Sugar, raw sugar",8M707QY5GH,3,15
POLYVINYL ACETATE,32K497ZK2U,1,15
"MODIFIED CORN STARCH (1-OCTENYL SUCCINIC ANHYDRIDE), modified corn starch (1-octenyl succinic anhydride)",461P5CJN6T,2,14
"HYDROXYETHYL CELLULOSE (2000 CPS AT 1%), HYDROXYETHYL CELLULOSE (2000 MPA.S AT 1%), Hydroxyethyl Cellulose (2000 Cps At 1%), Hydroxyethyl Cellulose (2000 Mpa.S At 1%), hydroxyethyl cellulose (2000 MPA.S AT 1%)",S38J6RZN16,5,14
POTASSIUM CARBONATE,BQN1B9B9HA,1,14
TOCOPHEROL,R0ZB2556P8,1,14
ACETONE,1364PS73AF,1,14
RASPBERRY,4N14V5R27W,1,14
"YELLOW WAX, yellow wax",2ZA36H0S2V,2,14
"BROWN IRON OXIDE, brown iron oxide",1N032N7MFO,2,13
PROPYLPARABEN SODIUM,625NNB0G9N,1,13
ALUMINUM HYDROXIDE,5QB0T2IUN0,1,13
SODIUM ACETATE,4550K0SC9B,1,13
"HYDROXYETHYL CELLULOSE, UNSPECIFIED",T4V6TWG28D,1,13
BANANA,4AJZ4765R9,1,12
FRUCTOSE,6YSS42VSEV,1,12
CASTOR OIL,D5340Y2I9G,1,12
"SESAME OIL, sesame oil",QX10HYY4QV,2,12
WHITE WAX,7G1J5DA97F,1,11
"HYDROGENATED SOYBEAN OIL, Hydrogenated Soybean Oil",A2M91M918C,2,11
GRAPE,6X543N684K,1,11
AMMONIUM GLYCYRRHIZATE,3VRD35U26C,1,11
SODIUM STEARATE,QU7E2XA9TG,1,11
POLYETHYLENE GLYCOL 300,5655G9Y8AQ,1,11
MAGNESIUM TRISILICATE,C2E1CI501T,1,10
HYPROMELLOSE 2910 (10000 MPA.S),0HO1H52958,1,10
BLACKBERRY,8A6OMU3I8L,1,10
CORN OIL,8470G57WFM,1,10
NITROGEN,N762921K75,1,10
POTASSIUM BICARBONATE,HM5Z15LEBN,1,10
SODIUM METABISULFITE,4VON5FNS3C,1,10
"METHYLCELLULOSE, UNSPECIFIED",Z944H5SN0H,1,10
"POLYVINYL ALCOHOL (100000 MW), Polyvinyl Alcohol (100000 Mw)",949E52Z6MY,2,9
POLYETHYLENE OXIDE 5000000,3IG9032SAH,1,9
"HYDROXYPROPYL CELLULOSE (1200000 WAMW), HYDROXYPROPYL CELLULOSE (TYPE M)",U3JF91U133,2,9
1-PROPOXY-2-PROPANOL,152BY1743W,1,9
DIMETHICONE 350,2Y53S6ATLU,1,9
SODIUM POLYSTYRENE SULFONATE,1699G8679Z,1,9
PARAFFIN,I9O0E3H2ZE,1,9
"DIMETHICONE 1000, dimethicone 1000",MCU2324216,2,9
"MICROCRYSTALLINE CELLULOSE 200, Microcrystalline cellulose 200",5XDI2TS1EZ,2,9
LOW-SUBSTITUTED HYDROXYPROPYL CELLULOSE (11% HYDROXYPROPYL; 130000 MW),7773C1ROEU,1,9
"TOCOPHERSOLAN, VITAMIN E POLYETHYLENE GLYCOL SUCCINATE",O03S90U1F2,2,9
POTASSIUM BITARTRATE,NPT6P8P3UU,1,9
POLYETHYLENE GLYCOL 200,R95B8J264J,1,9
KAOLIN,24H4NWX5CO,1,9
"POLYETHYLENE GLYCOL 7000000, POLYETHYLENE OXIDE 7000000, Polyethylene Glycol 7000000",G3MS6M810Y,3,9
METHYLENE CHLORIDE,588X2YUY0A,1,9
"PEG-32 HYDROGENATED PALM GLYCERIDES, STEAROYL POLYOXYL-32 GLYCERIDES",G6EP177239,2,9
"CARBOMER 934, CARBOMER HOMOPOLYMER TYPE B (ALLYL SUCROSE CROSSLINKED)",Z135WT9208,2,8
METHYLCELLULOSE (400 MPA.S),O0GN6F9B2Y,1,8
"SODIUM PHOSPHATE, DIBASIC, UNSPECIFIED FORM",GR686LBA74,1,8
CALCIUM SILICATE,S4255P4G5M,1,8
"MINT, Mint",FV98Z8GITP,2,8
"HYPROMELLOSE PHTHALATE (31% PHTHALATE, 170 CST), hypromellose phthalate (31% phthalate, 170 cst)",8LDD2V82F5,2,8
"STARCH, TAPIOCA, starch, tapioca",24SC3U704I,2,8
"CARBOMER HOMOPOLYMER TYPE A, CARBOMER HOMOPOLYMER TYPE A (ALLYL PENTAERYTHRITOL CROSSLINKED), Carbomer 941",F68VH75CJC,3,8
"PEG-8 STEARATE, POLYOXYL 8 STEARATE",2P9L47VI5E,2,8
betadex,JV039JZZ3A,1,8
SACCHARIN,FST467XS7D,1,8
LIGHT MINERAL OIL,N6K5787QVP,1,8
PEG-40 SORBITAN DIISOSTEARATE,JL4CCU7I1G,1,8
TRICALCIUM PHOSPHATE,K4C08XP666,1,8
ETHYLCELLULOSE (45 MPA.S),V7AD894FAZ,1,7
"POLYOXYL 40 STEARATE, POLYOXYL STEARATE 40",13A4J4NH9I,2,7
CANDELILLA WAX,WL0328HX19,1,7
"TRAGACANTH, tragacanth",2944357O2O,2,7
LEMON,24RS0A988O,1,7
"POLYVINYL ALCOHOL GRAFT POLYETHYLENE GLYCOL COPOLYMER (3:1; 45000 MW), Polyvinyl Alcohol Graft Polyethylene Glycol Copolymer (3:1; 45000 Mw)",23ZQ42JZZH,2,7
ANHYDROUS DEXTROSE,5SL0G7R0OK,1,7
ASCORBYL PALMITATE,QN83US2B0N,1,7
ETHYLCELLULOSE (7 MPA.S),H3UP11403C,1,7
FD&C RED NO. 4,X3W0AM1JLX,1,7
COTTONSEED OIL,H3E878020N,1,7
CARBOXYMETHYLCELLULOSE,05JZI7B19X,1,7
ANHYDROUS TRISODIUM CITRATE,RS7A450LGA,1,7
Isomalt,S870P55O2W,1,7
CARMINIC ACID,CID8Z8N95N,1,7
"CARBOMER HOMOPOLYMER TYPE B, CARBOMER HOMOPOLYMER TYPE B (ALLYL PENTAERYTHRITOL CROSSLINKED)",HHT01ZNK31,2,7
HYPROMELLOSE ACETATE SUCCINATE 12070923 (3 MM2/S),36BGF0E889,1,7
LACTIC ACID,33X04XA5AT,1,7
sucrose stearate,274KW0O50M,1,7
"POLYOXYL 35 CASTOR OIL, polyoxyl 35 castor oil",6D4M1DAL6O,2,7
"SORBITAN, Sorbitan",6O92ICV9RU,2,7
D&C RED NO. 6 BARIUM LAKE,K4XZD9W99K,1,7
HYDROXYPROPYL CELLULOSE (20000 WAMW),KZQ570MOA5,1,7
METHACRYLIC ACID - ETHYL ACRYLATE COPOLYMER (4500 MPA.S),T967IEU43C,1,6
"AMMONIUM PHOSPHATE, DIBASIC",10LGE70FSU,1,6
"CORN SYRUP, corn syrup",9G5L16BK6N,2,6
"SPEARMINT OIL, spearmint oil",C3M81465G5,2,6
POLYETHYLENE GLYCOL 20000,5WKN5KL2O8,1,6
MICROCRYSTALLINE CELLULOSE 105,KO5GYV0DCB,1,6
"CARRAGEENAN, carrageenan",5C69YCD2YJ,2,6
TERT-BUTYL ALCOHOL,MD83SFE959,1,6
"LAUROYL PEG-32 GLYCERIDES, Lauroyl Peg-32 Glycerides",H5ZC52369M,2,6
SORBITAN MONOLAURATE,6W9PS8B71J,1,6
"POLYETHYLENE GLYCOL 2000000, POLYETHYLENE OXIDE 2000000, Polyethylene Glycol 2000000",5K3991GVWI,3,6
BERRY,FV3431923Z,1,6
POLYETHYLENE GLYCOL 1450,OJ4Z5Z32L4,1,6
SODIUM STARCH GLYCOLATE TYPE B POTATO,27NA468985,1,6
ETHYLENE GLYCOL MONOETHYL ETHER,IDK7C2HS09,1,6
ALUMINUM CHLOROHYDREX PROPYLENE GLYCOL,PGG6VG42HP,1,6
POVIDONE K12,333AG72FWJ,1,6
ethylparaben,14255EXE39,1,6
"1,4-SORBITAN",AV0YTZ4E6J,1,5
MAGNESIUM PALMITOSTEARATE,R4OXA9G5BV,1,5
GLYCERYL MONO- AND DIPALMITOSTEARATE,KC98RO82HJ,1,5
POLYETHYLENE GLYCOL 2000,HAF0412YIT,1,5
GLYCERYL OLEATE,4PC054V79P,1,5
GLYCERYL BEHENATE/EICOSADIOATE,73CJJ317SR,1,5
ETHYLCELLULOSE AQUEOUS DISPERSION TYPE B,HZJ2V81RYU,1,5
ACESULFAME,MA3UYZ6K1H,1,5
MAGNESIUM SILICATE,9B9691B2N9,1,5
POLY(METHYL ACRYLATE-CO-METHYL METHACRYLATE-CO-METHACRYLIC ACID 7:3:1; 280000 MW),99Q3C7L77T,1,5
HYDROXYPROPYL CELLULOSE (160000 WAMW),0A7M0N7SPE,1,5
SOYBEAN PHOSPHATIDYLCHOLINE,1T6N4D9YV6,1,5
